repo_name,owner,repo_url,description,language,topics,stars,updated_at,input_url,input_search_query,input_max_pages,warning,warning_code,error,error_code,snapshot_id,snapshot_date,categories,primary_category
triton-inference-server/server,triton-inference-server,https://github.com/triton-inference-server/server,,Python,"[""machine-learning"",""cloud"",""deep-learning"",""gpu"",""inference""]",10926,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
albumentations-team/AlbumentationsX,albumentations-team,https://github.com/albumentations-team/AlbumentationsX,,Python,"[""python"",""machine-learning"",""computer-vision"",""deep-learning"",""tensorflow""]",534,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Computer Vision|Core ML & Deep Learning,Computer Vision
epfml/disco,epfml,https://github.com/epfml/disco,,TypeScript,"[""machine-learning"",""mobile"",""browser"",""collaborative-learning"",""privacy-preserving""]",187,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
ultralytics/ultralytics,ultralytics,https://github.com/ultralytics/ultralytics,,Python,"[""python"",""tracking"",""machine-learning"",""computer-vision"",""deep-learning""]",60770,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Computer Vision|Core ML & Deep Learning,Computer Vision
pytorch/vision,pytorch,https://github.com/pytorch/vision,,Python,"[""machine-learning"",""computer-vision""]",17872,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Computer Vision|Core ML & Deep Learning,Computer Vision
Lightning-AI/torchmetrics,Lightning-AI,https://github.com/Lightning-AI/torchmetrics,,Python,"[""python"",""data-science"",""machine-learning"",""deep-learning"",""metrics""]",2459,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
spiceai/spiceai,spiceai,https://github.com/spiceai/spiceai,,Rust,"[""infrastructure"",""data"",""machine-learning"",""sql"",""artificial-intelligence""]",3069,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
cyberlife-coder/VelesDB,cyberlife-coder,https://github.com/cyberlife-coder/VelesDB,,Rust,"[""rust"",""search-engine"",""machine-learning"",""ai"",""embeddings""]",87,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,RAG & Retrieval|Core ML & Deep Learning,RAG & Retrieval
PriorLabs/TabPFN,PriorLabs,https://github.com/PriorLabs/TabPFN,,Python,"[""data-science"",""machine-learning"",""tabular-data"",""foundation-models"",""tabpfn""]",7815,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
Oxen-AI/Oxen,Oxen-AI,https://github.com/Oxen-AI/Oxen,,Rust,"[""python"",""rust"",""machine-learning"",""version-control"",""vcs""]",1179,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
