repo_name,owner,repo_url,description,language,topics,stars,updated_at,input,snapshot_id,snapshot_date,categories,primary_category
pixeltable/pixeltable,pixeltable,https://github.com/pixeltable/pixeltable,,Python,"['data-science', 'machine-learning', 'database', 'ai', 'computer-vision']",1613,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Computer Vision|Core ML & Deep Learning,Computer Vision
dmlc/xgboost,dmlc,https://github.com/dmlc/xgboost,,C++,"['distributed-systems', 'machine-learning', 'xgboost', 'gbdt', 'gbm']",28685,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
libxsmm/tpp-mlir,libxsmm,https://github.com/libxsmm/tpp-mlir,,MLIR,"['machine-learning', 'library', 'compiler', 'llvm', 'micro-kernel']",162,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
pytorch/rl,pytorch,https://github.com/pytorch/rl,,Python,"['machine-learning', 'control', 'reinforcement-learning', 'ai', 'robotics']",3528,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
nautechsystems/nautilus_trader,nautechsystems,https://github.com/nautechsystems/nautilus_trader,,Rust,"['python', 'rust', 'machine-learning', 'trading', 'forex']",27000,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
vespa-engine/vespa,vespa-engine,https://github.com/vespa-engine/vespa,,Java,"['search', 'java', 'search-engine', 'machine-learning', 'big-data']",7057,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,RAG & Retrieval|Core ML & Deep Learning,RAG & Retrieval
gorse-io/gorse,gorse-io,https://github.com/gorse-io/gorse,,Go,"['go', 'machine-learning', 'collaborative-filtering', 'recommender-system', 'knn']",9800,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
Carl-McBride-Ellis/Compendium-of-free-ML-reading-resources,Carl-McBride-Ellis,https://github.com/Carl-McBride-Ellis/Compendium-of-free-ML-reading-resources,,Unknown,"['machine-learning', 'statistics', 'random-forest', 'svm', 'linear-regression']",555,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
ddmms/ml-peg,ddmms,https://github.com/ddmms/ml-peg,,Python,"['benchmarking', 'machine-learning', 'validation', 'interatomic-potentials', 'ai-for-science']",56,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
PriorLabs/TabPFN,PriorLabs,https://github.com/PriorLabs/TabPFN,,Python,"['data-science', 'machine-learning', 'tabular-data', 'foundation-models', 'tabpfn']",7829,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
Comfy-Org/ComfyUI_frontend,Comfy-Org,https://github.com/Comfy-Org/ComfyUI_frontend,,TypeScript,"['machine-learning', 'generative-ai']",1976,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
scverse/scanpy,scverse,https://github.com/scverse/scanpy,,Python,"['python', 'data-science', 'machine-learning', 'bioinformatics', 'transcriptomics']",2543,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
soda-inria/tabicl,soda-inria,https://github.com/soda-inria/tabicl,,Python,"['machine-learning', 'deep-learning', 'tabular-data', 'tabular-methods', 'tabular-model']",1297,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
mne-tools/mne-python,mne-tools,https://github.com/mne-tools/mne-python,,Python,"['visualization', 'python', 'machine-learning', 'statistics', 'neuroscience']",3488,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
GrayboxTech/weightslab,GrayboxTech,https://github.com/GrayboxTech/weightslab,,Python,"['python', 'open-source', 'machine-learning', 'computer-vision', 'deep-learning']",166,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Computer Vision|Core ML & Deep Learning,Computer Vision
flwrlabs/flower,flwrlabs,https://github.com/flwrlabs/flower,,Python,"['android', 'python', 'raspberry-pi', 'ios', 'machine-learning']",7082,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
iree-org/iree,iree-org,https://github.com/iree-org/iree,,C++,"['machine-learning', 'compiler', 'runtime', 'tensorflow', 'vulkan']",3890,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
VIAME/VIAME,VIAME,https://github.com/VIAME/VIAME,,Python,"['open-source', 'tracking', 'machine-learning', 'computer-vision', 'deep-learning']",336,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Computer Vision|Core ML & Deep Learning,Computer Vision
rocketride-org/rocketride-server,rocketride-org,https://github.com/rocketride-org/rocketride-server,,Python,"['python', 'machine-learning', 'typescript', 'sdk', 'ai']",6953,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
sanidhyy/brainwave,sanidhyy,https://github.com/sanidhyy/brainwave,,JavaScript,"['react', 'javascript', 'css', 'html', 'machine-learning']",165,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
SwanHubX/SwanLab,SwanHubX,https://github.com/SwanHubX/SwanLab,,Python,"['visualization', 'python', 'training', 'tracking', 'data-science']",4164,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
BiaPyX/BiaPy,BiaPyX,https://github.com/BiaPyX/BiaPy,,Jupyter Notebook,"['python', 'machine-learning', 'computer-vision', 'deep-learning', 'image-processing']",211,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Computer Vision|Core ML & Deep Learning,Computer Vision
kubeflow/trainer,kubeflow,https://github.com/kubeflow/trainer,,Go,"['python', 'kubernetes', 'machine-learning', 'ai', 'tensorflow']",2191,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,MLOps & Orchestration|Core ML & Deep Learning,MLOps & Orchestration
ccao-data/model-res-avm,ccao-data,https://github.com/ccao-data/model-res-avm,,R,"['data-science', 'machine-learning', 'r', 'model', 'assessment']",71,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
